StudentId,Age,Gender,Region,AcademicPressure,SocialSupport,SleepHours,ExerciseHours,StressLevel,SatisfactionWithLife
1,1,Male,East,4,3,6.852221339092671,3.462180164451352,2,1
2,14,Female,North,2,3,7.379653431858302,1.3470616689926074,6,2
3,23,Female,North,6,1,8.173096518556765,1.220627611238871,6,1
4,9,Female,East,6,5,4.835988726435254,0.8414552108646528,1,5
5,5,Male,South,4,7,7.626504275666903,1.093821097865351,9,5
6,2,Female,West,6,9,7.239046547810039,2.790510010086706,6,7
7,23,Male,North,2,7,5.218367348408616,2.019180855290204,3,9
8,15,Male,West,2,9,9.657121423347888,0.3244612355449078,4,9
9,1,Male,South,4,8,7.593192798931216,1.2695770696717237,4,3
10,20,Male,South,8,2,8.168709598238227,1.234380314193006,3,3
11,13,Male,South,7,1,9.282807034091547,3.481521364198942,3,3
12,17,Female,North,9,7,7.746124288802759,3.56135294962221,3,4
13,5,Female,South,8,7,5.773802115026284,0.7404346497669995,4,8
14,5,Female,North,5,8,4.632965558981624,4.98870242524471,7,6
15,18,Female,South,2,5,6.739207422897461,1.333905071376425,4,8
16,15,Female,West,5,3,5.310642623301002,4.883074779163264,9,1
18,2,Female,East,9,6,9.29968155351321,0.1652536645027419,8,4
19,18,Female,West,9,3,5.946070126031644,1.725356240133415,7,1
21,16,Female,West,9,3,6.137787028461849,3.403527257773834,8,4
22,15,Male,North,7,5,9.440970649274524,2.6546729165856817,1,6
24,18,Male,East,8,1,7.886140723248173,2.76446544535664,9,4
25,6,Female,East,1,5,4.003122261971895,2.963483619396968,2,3
26,24,Female,South,8,7,6.115413138005014,0.4042666316635762,7,9
27,0,Male,North,8,7,5.828687548948174,1.8482722803070224,3,3
29,22,Male,South,1,3,7.204536516252652,4.015698781899479,9,2
30,15,Male,West,8,7,6.9089798281539,2.351503172230192,4,2
